op name, kernel name, exec duration (ms), global size, local size, output size
Kcur-18,kernel_rope_norm_f32,0.003072,512x1x1,64x1x1,128x8x1x1
cache_k_l18 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
cache_v_l18 (view),kernel_set_rows_q4_0_head_i64,0.018944,8x8x1,8x8x1,1024x4096x1x1
__fattn__-18,flash_attn_f32_q4_0_head_q1,0.356864,64x32x0,64x1x0,128x32x1x1
attn_out-18,kernel_gemv_noshuffle,0.158976,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-18,kernel_add_row,0.003072,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-18,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-18,kernel_gemv_noshuffle,0.558080,7168x4x1,64x4x1,14336x1x1x1
ffn_up-18,kernel_gemv_noshuffle,0.577024,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-18,kernel_swiglu,0.012032,512x1x1,512x1x1,14336x1x1x1
ffn_out-18,kernel_gemv_noshuffle,0.546048,2048x4x1,64x4x1,4096x1x1x1
l_out-18,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
attn_norm-19,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
Qcur-19,kernel_gemv_noshuffle,0.163072,2048x4x1,64x4x1,4096x1x1x1
Qcur-19,kernel_rope_norm_f32,0.003072,2048x1x1,64x1x1,128x32x1x1
Vcur-19,kernel_gemv_noshuffle,0.065792,512x4x1,64x4x1,1024x1x1x1
Kcur-19,kernel_gemv_noshuffle,0.062976,512x4x1,64x4x1,1024x1x1x1
Kcur-19,kernel_rope_norm_f32,0.003072,512x1x1,64x1x1,128x8x1x1
cache_k_l19 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
cache_v_l19 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-19,flash_attn_f32_q4_0_head_q1,0.355840,64x32x0,64x1x0,128x32x1x1
attn_out-19,kernel_gemv_noshuffle,0.160000,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-19,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-19,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-19,kernel_gemv_noshuffle,0.573952,7168x4x1,64x4x1,14336x1x1x1
ffn_up-19,kernel_gemv_noshuffle,0.566016,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-19,kernel_swiglu,0.012032,512x1x1,512x1x1,14336x1x1x1
ffn_out-19,kernel_gemv_noshuffle,0.548864,2048x4x1,64x4x1,4096x1x1x1
l_out-19,kernel_add_row,0.003072,1024x0x0,64x0x0,4096x1x1x1
attn_norm-20,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
Qcur-20,kernel_gemv_noshuffle,0.161024,2048x4x1,64x4x1,4096x1x1x1
Qcur-20,kernel_rope_norm_f32,0.003072,2048x1x1,64x1x1,128x32x1x1
Vcur-20,kernel_gemv_noshuffle,0.064000,512x4x1,64x4x1,1024x1x1x1
Kcur-20,kernel_gemv_noshuffle,0.061952,512x4x1,64x4x1,1024x1x1x1
Kcur-20,kernel_rope_norm_f32,0.003072,512x1x1,64x1x1,128x8x1x1
cache_k_l20 (view),kernel_set_rows_q4_0_head_i64,0.020992,8x8x1,8x8x1,1024x4096x1x1
cache_v_l20 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-20,flash_attn_f32_q4_0_head_q1,0.357888,64x32x0,64x1x0,128x32x1x1
attn_out-20,kernel_gemv_noshuffle,0.163072,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-20,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-20,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-20,kernel_gemv_noshuffle,0.559872,7168x4x1,64x4x1,14336x1x1x1
ffn_up-20,kernel_gemv_noshuffle,0.567040,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-20,kernel_swiglu,0.012032,512x1x1,512x1x1,14336x1x1x1
ffn_out-20,kernel_gemv_noshuffle,0.532992,2048x4x1,64x4x1,4096x1x1x1
l_out-20,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
attn_norm-21,kernel_rms_norm_mul,0.004864,1024x1x1,1024x1x1,4096x1x1x1
Qcur-21,kernel_gemv_noshuffle,0.158976,2048x4x1,64x4x1,4096x1x1x1
Qcur-21,kernel_rope_norm_f32,0.002816,2048x1x1,64x1x1,128x32x1x1
Vcur-21,kernel_gemv_noshuffle,0.062976,512x4x1,64x4x1,1024x1x1x1
Kcur-21,kernel_gemv_noshuffle,0.062208,512x4x1,64x4x1,1024x1x1x1
Kcur-21,kernel_rope_norm_f32,0.001792,512x1x1,64x1x1,128x8x1x1
cache_k_l21 (view),kernel_set_rows_q4_0_head_i64,0.020992,8x8x1,8x8x1,1024x4096x1x1
cache_v_l21 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-21,flash_attn_f32_q4_0_head_q1,0.357120,64x32x0,64x1x0,128x32x1x1
attn_out-21,kernel_gemv_noshuffle,0.158976,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-21,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-21,kernel_rms_norm_mul,0.006144,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-21,kernel_gemv_noshuffle,0.576000,7168x4x1,64x4x1,14336x1x1x1
ffn_up-21,kernel_gemv_noshuffle,0.554752,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-21,kernel_swiglu,0.012032,512x1x1,512x1x1,14336x1x1x1
ffn_out-21,kernel_gemv_noshuffle,0.546048,2048x4x1,64x4x1,4096x1x1x1
l_out-21,kernel_add_row,0.003072,1024x0x0,64x0x0,4096x1x1x1
attn_norm-22,kernel_rms_norm_mul,0.004864,1024x1x1,1024x1x1,4096x1x1x1
Qcur-22,kernel_gemv_noshuffle,0.161792,2048x4x1,64x4x1,4096x1x1x1
Qcur-22,kernel_rope_norm_f32,0.003072,2048x1x1,64x1x1,128x32x1x1
Vcur-22,kernel_gemv_noshuffle,0.062976,512x4x1,64x4x1,1024x1x1x1
Kcur-22,kernel_gemv_noshuffle,0.060160,512x4x1,64x4x1,1024x1x1x1
Kcur-22,kernel_rope_norm_f32,0.002048,512x1x1,64x1x1,128x8x1x1
cache_k_l22 (view),kernel_set_rows_q4_0_head_i64,0.020992,8x8x1,8x8x1,1024x4096x1x1
cache_v_l22 (view),kernel_set_rows_q4_0_head_i64,0.020992,8x8x1,8x8x1,1024x4096x1x1
__fattn__-22,flash_attn_f32_q4_0_head_q1,0.358144,64x32x0,64x1x0,128x32x1x1
attn_out-22,kernel_gemv_noshuffle,0.156928,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-22,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-22,kernel_rms_norm_mul,0.006144,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-22,kernel_gemv_noshuffle,0.564992,7168x4x1,64x4x1,14336x1x1x1
ffn_up-22,kernel_gemv_noshuffle,0.581120,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-22,kernel_swiglu,0.011008,512x1x1,512x1x1,14336x1x1x1
ffn_out-22,kernel_gemv_noshuffle,0.545024,2048x4x1,64x4x1,4096x1x1x1
l_out-22,kernel_add_row,0.002816,1024x0x0,64x0x0,4096x1x1x1
attn_norm-23,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
Qcur-23,kernel_gemv_noshuffle,0.157952,2048x4x1,64x4x1,4096x1x1x1
Qcur-23,kernel_rope_norm_f32,0.003072,2048x1x1,64x1x1,128x32x1x1
Vcur-23,kernel_gemv_noshuffle,0.061952,512x4x1,64x4x1,1024x1x1x1
Kcur-23,kernel_gemv_noshuffle,0.060928,512x4x1,64x4x1,1024x1x1x1
Kcur-23,kernel_rope_norm_f32,0.003072,512x1x1,64x1x1,128x8x1x1
cache_k_l23 (view),kernel_set_rows_q4_0_head_i64,0.020992,8x8x1,8x8x1,1024x4096x1x1
cache_v_l23 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-23,flash_attn_f32_q4_0_head_q1,0.357888,64x32x0,64x1x0,128x32x1x1
attn_out-23,kernel_gemv_noshuffle,0.157952,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-23,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-23,kernel_rms_norm_mul,0.006144,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-23,kernel_gemv_noshuffle,0.563968,7168x4x1,64x4x1,14336x1x1x1
ffn_up-23,kernel_gemv_noshuffle,0.572160,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-23,kernel_swiglu,0.013056,512x1x1,512x1x1,14336x1x1x1
ffn_out-23,kernel_gemv_noshuffle,0.545024,2048x4x1,64x4x1,4096x1x1x1
l_out-23,kernel_add_row,0.003072,1024x0x0,64x0x0,4096x1x1x1
attn_norm-24,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
Qcur-24,kernel_gemv_noshuffle,0.154880,2048x4x1,64x4x1,4096x1x1x1
Qcur-24,kernel_rope_norm_f32,0.003072,2048x1x1,64x1x1,128x32x1x1
Vcur-24,kernel_gemv_noshuffle,0.062976,512x4x1,64x4x1,1024x1x1x1
Kcur-24,kernel_gemv_noshuffle,0.061952,512x4x1,64x4x1,1024x1x1x1
Kcur-24,kernel_rope_norm_f32,0.002048,512x1x1,64x1x1,128x8x1x1
cache_k_l24 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
cache_v_l24 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-24,flash_attn_f32_q4_0_head_q1,0.358912,64x32x0,64x1x0,128x32x1x1
attn_out-24,kernel_gemv_noshuffle,0.155904,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-24,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-24,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-24,kernel_gemv_noshuffle,0.560128,7168x4x1,64x4x1,14336x1x1x1
ffn_up-24,kernel_gemv_noshuffle,0.562944,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-24,kernel_swiglu,0.012032,512x1x1,512x1x1,14336x1x1x1
ffn_out-24,kernel_gemv_noshuffle,0.542976,2048x4x1,64x4x1,4096x1x1x1
l_out-24,kernel_add_row,0.003072,1024x0x0,64x0x0,4096x1x1x1
attn_norm-25,kernel_rms_norm_mul,0.006144,1024x1x1,1024x1x1,4096x1x1x1
Qcur-25,kernel_gemv_noshuffle,0.158208,2048x4x1,64x4x1,4096x1x1x1
Qcur-25,kernel_rope_norm_f32,0.001792,2048x1x1,64x1x1,128x32x1x1
Vcur-25,kernel_gemv_noshuffle,0.061184,512x4x1,64x4x1,1024x1x1x1
Kcur-25,kernel_gemv_noshuffle,0.061184,512x4x1,64x4x1,1024x1x1x1
Kcur-25,kernel_rope_norm_f32,0.001792,512x1x1,64x1x1,128x8x1x1
cache_k_l25 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
cache_v_l25 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-25,flash_attn_f32_q4_0_head_q1,0.356096,64x32x0,64x1x0,128x32x1x1
attn_out-25,kernel_gemv_noshuffle,0.166912,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-25,kernel_add_row,0.002048,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-25,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-25,kernel_gemv_noshuffle,0.563968,7168x4x1,64x4x1,14336x1x1x1
ffn_up-25,kernel_gemv_noshuffle,0.557056,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-25,kernel_swiglu,0.011776,512x1x1,512x1x1,14336x1x1x1
ffn_out-25,kernel_gemv_noshuffle,0.545024,2048x4x1,64x4x1,4096x1x1x1
l_out-25,kernel_add_row,0.003072,1024x0x0,64x0x0,4096x1x1x1
attn_norm-26,kernel_rms_norm_mul,0.005888,1024x1x1,1024x1x1,4096x1x1x1
Qcur-26,kernel_gemv_noshuffle,0.156160,2048x4x1,64x4x1,4096x1x1x1
Qcur-26,kernel_rope_norm_f32,0.002816,2048x1x1,64x1x1,128x32x1x1
Vcur-26,kernel_gemv_noshuffle,0.061952,512x4x1,64x4x1,1024x1x1x1
Kcur-26,kernel_gemv_noshuffle,0.061184,512x4x1,64x4x1,1024x1x1x1
Kcur-26,kernel_rope_norm_f32,0.003072,512x1x1,64x1x1,128x8x1x1
cache_k_l26 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
cache_v_l26 (view),kernel_set_rows_q4_0_head_i64,0.019968,8x8x1,8x8x1,1024x4096x1x1
__fattn__-26,flash_attn_f32_q4_0_head_q1,0.357120,64x32x0,64x1x0,128x32x1x1
attn_out-26,kernel_gemv_noshuffle,0.158208,2048x4x1,64x4x1,4096x1x1x1
ffn_inp-26,kernel_add_row,0.001792,1024x0x0,64x0x0,4096x1x1x1
ffn_norm-26,kernel_rms_norm_mul,0.006144,1024x1x1,1024x1x1,4096x1x1x1
ffn_gate-26,kernel_gemv_noshuffle,0.556800,7168x4x1,64x4x1,14336x1x1x1
ffn_up-26,kernel_gemv_noshuffle,0.550144,7168x4x1,64x4x1,14336x1x1x1
ffn_swiglu-26,kernel_swiglu,0.011776,512x1x1,512x1x1,14336x1x1x1
ffn_out-26,kernel_gemv_noshuffle,0.541184,2048x4x1,64x4x1,4096x1x1x1
l_out-26,kernel_add_row,0.002816,1024x0x0,64x0x0,4096x1x1x1
attn_norm-27,kernel_rms_norm_mul,0.006144,1024x1x1,1024x1x1,4096x1x1x1
Qcur-27,kernel_gemv_noshuffle,0.162816,2048x4x1,64x4x1,4096x1x1x1
